,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
23851,2020,PB,VEREADOR,KIVIA KAROLAYNE FELIX DE SOUZA,APTO,DEFERIDO,PARTIDO LIBERAL,23,FEMININO,LÊ E ESCREVE,PARDA,15828.8,DEFERIDO,INDEFERIDO COM RECURSO
24055,2020,SC,VEREADOR,LUIZ EDUARDO LEMOS,APTO,INDEFERIDO COM RECURSO,CIDADANIA,20,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
24091,2020,MT,VEREADOR,WADRAIN DOS SANTOS VAZ,APTO,DEFERIDO,PODEMOS,19,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
24092,2020,SP,VEREADOR,IGOR JOSÉ GUEDES DA SILVA,APTO,INDEFERIDO COM RECURSO,PODEMOS,25,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,39754.41,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
24116,2020,PI,VEREADOR,FRANCISCO DAS CHAGAS SOUSA FILHO,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,SUPERIOR INCOMPLETO,PRETA,18250.54,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
24214,2020,PR,VEREADOR,JEFFERSON VALDIR DA SILVA GERALDINO,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,25,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,100426.4,DEFERIDO,INDEFERIDO COM RECURSO
25840,2020,PB,VEREADOR,JOSE ERIVAN DE ALMEIDA JUNIOR,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,MASCULINO,SUPERIOR COMPLETO,PARDA,311995.58,DEFERIDO,INDEFERIDO COM RECURSO
25841,2020,PR,VEREADOR,MAIKELEN FABIANE BOROVICZ,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA CRISTÃO,29,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,106531.81,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
25860,2020,AL,VEREADOR,DJALMA ROSENO FILHO,APTO,INDEFERIDO COM RECURSO,PODEMOS,24,MASCULINO,SUPERIOR COMPLETO,PRETA,36831.76,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
25986,2020,SP,VEREADOR,MARCOS SILVA DA CRUZ,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,17621.63,DEFERIDO,INDEFERIDO COM RECURSO
26080,2020,BA,VEREADOR,JAMILE FONSECA DE JESUS,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,29,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,15415.63,DEFERIDO,INDEFERIDO COM RECURSO
26096,2020,BA,VEREADOR,JOSENILDO JURITI ALVES,APTO,INDEFERIDO COM RECURSO,REDE SUSTENTABILIDADE,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
26101,2020,ES,VEREADOR,ELISEU MENDES DA ROCHA,APTO,DEFERIDO,PARTIDO TRABALHISTA CRISTÃO,25,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,102310.15,DEFERIDO,INDEFERIDO COM RECURSO
26133,2020,PB,VEREADOR,JOSE WHEVERGTON XAVIER LEITE,APTO,DEFERIDO,CIDADANIA,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
