,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
43134,2020,PB,VEREADOR,LEONARDO PONTES RIBEIRO,APTO,DEFERIDO,PARTIDO LIBERAL,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,15828.8,DEFERIDO,INDEFERIDO COM RECURSO
43202,2020,BA,VEREADOR,JOÃO CARLOS DOS SANTOS SILVA,APTO,DEFERIDO,CIDADANIA,28,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,451919.94,DEFERIDO,INDEFERIDO COM RECURSO
43262,2020,RJ,VEREADOR,MATHEUS SALDANHA DA GAMA FERNANDES,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,24,MASCULINO,SUPERIOR COMPLETO,BRANCA,65010.28,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
43295,2020,AC,VEREADOR,LEOVANIA DE OLIVEIRA MORAES MELO,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,29,FEMININO,SUPERIOR COMPLETO,BRANCA,17317.0,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
43389,2020,MG,VEREADOR,DAYANE PEREIRA VALADARES,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
43551,2020,CE,VEREADOR,LEONARDO SOARES DA SILVA,APTO,INDEFERIDO COM RECURSO,PARTIDO TRABALHISTA BRASILEIRO,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
43579,2020,SE,VEREADOR,EMMANUELA CORREA NASCIMENTO PEREIRA,APTO,INDEFERIDO COM RECURSO,PARTIDO DOS TRABALHADORES,24,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,186003.67,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
43759,2020,SC,VEREADOR,GEAN MACHADO VICENTE,APTO,INDEFERIDO COM RECURSO,PARTIDO VERDE,28,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,17575.36,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
43765,2020,CE,VEREADOR,JUNYELLE NUNES DA SILVA PINTO,APTO,DEFERIDO,CIDADANIA,26,FEMININO,SUPERIOR COMPLETO,BRANCA,43093.06,DEFERIDO,INDEFERIDO COM RECURSO
43945,2020,MG,VEREADOR,PAULO SERGIO DO NASCIMENTO JUNIOR,APTO,DEFERIDO,PARTIDO TRABALHISTA CRISTÃO,20,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
44262,2020,MG,VEREADOR,HANAWELY KAINE SANTIAGO ARAUJO,APTO,DEFERIDO,DEMOCRATAS,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
44440,2020,AP,VEREADOR,PATRICIA KELLI FATI DA COSTA,APTO,INDEFERIDO COM RECURSO,AVANTE,24,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
44446,2020,MG,VEREADOR,MATEUS FERREIRA DE OLIVEIRA LOPES,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,22,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,1602918.44,DEFERIDO,INDEFERIDO COM RECURSO
44512,2020,MG,VEREADOR,WEMERSON PEREIRA BITTENCORTH,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,1602918.44,DEFERIDO,INDEFERIDO COM RECURSO
45040,2020,MA,VEREADOR,RAYAN NICKSON MONTEIRO SOUSA,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,105764.71,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
45041,2020,CE,VEREADOR,VITORIA MONTE SILVA,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIALISTA BRASILEIRO,19,FEMININO,ENSINO MÉDIO INCOMPLETO,BRANCA,93994.11,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
45061,2020,SP,VEREADOR,EVERSON SOARES DE SOUZA,APTO,DEFERIDO,REPUBLICANOS,21,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,15526.39,DEFERIDO,INDEFERIDO COM RECURSO
45270,2020,MG,VEREADOR,SABRINA GONÇALVES PEREIRA,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,27,FEMININO,LÊ E ESCREVE,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
45579,2020,PB,VEREADOR,JAYME FELIX CARDOSO NETO,APTO,DEFERIDO,PATRIOTA,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,311995.58,DEFERIDO,INDEFERIDO COM RECURSO
45616,2020,PA,VEREADOR,CAMILA CRISTINA FIGUEIREDO DA COSTA MENDES,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,24,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,438043.03,DEFERIDO,INDEFERIDO COM RECURSO
45617,2020,CE,VEREADOR,JANAINA OLIVEIRA TEIXEIRA,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,25,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,16975.98,DEFERIDO,INDEFERIDO COM RECURSO
45671,2020,PE,VEREADOR,JOÃO PEDRO DA SILVA ARAÚJO,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,24,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
45764,2020,PI,VEREADOR,ROBERSON PEREIRA DE ARAÚJO,APTO,DEFERIDO,CIDADANIA,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,24716.64,DEFERIDO,INDEFERIDO COM RECURSO
46260,2020,PR,VEREADOR,CLAUDINEI LUIZ MACEDO,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
46345,2020,PA,VEREADOR,EDUARDO DE JESUS DA SILVA,APTO,DEFERIDO COM RECURSO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,83396.64,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
46454,2020,SP,VEREADOR,SUSELI NASCIMENTO DA SILVA,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
46616,2020,MG,VEREADOR,TIAGO VINICIUS MENDES,APTO,DEFERIDO,REPUBLICANOS,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,51742.72,DEFERIDO,INDEFERIDO COM RECURSO
46956,2020,RJ,VEREADOR,WILHANS MARQUES DA SILVA,APTO,DEFERIDO,REPUBLICANOS,21,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,INDEFERIDO COM RECURSO
46957,2020,BA,VEREADOR,MARCOS VENICIUS SOUZA DA SILVA,APTO,INDEFERIDO COM RECURSO,REDE SUSTENTABILIDADE,24,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
47002,2020,PI,VICE-PREFEITO,DOUGLAS JOSÉ ALVES,APTO,DEFERIDO COM RECURSO,PARTIDO SOCIAL DEMOCRÁTICO,28,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
47020,2020,AM,VEREADOR,MAYARA KATRINE SOUZA E SOUZA,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL DEMOCRÁTICO,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
23188,2020,PA,VEREADOR,MARIA DE NAZARE DA SILVA DA LUZ,APTO,PEDIDO NÃO CONHECIDO COM RECURSO,REPUBLICANOS,24,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,16318.14,PEDIDO NÃO CONHECIDO COM RECURSO,PEDIDO NÃO CONHECIDO COM RECURSO
30312,2020,MA,VEREADOR,BEATRIZ SANTOS ALMEIDA,APTO,PEDIDO NÃO CONHECIDO COM RECURSO,REDE SUSTENTABILIDADE,18,FEMININO,SUPERIOR INCOMPLETO,PARDA,43199.72,PEDIDO NÃO CONHECIDO COM RECURSO,PEDIDO NÃO CONHECIDO COM RECURSO
43585,2020,SP,PREFEITO,MARCELO RODRIGUES FONSECA,APTO,DEFERIDO,DEMOCRATAS,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,,#NULO#,#NULO#
45787,2020,SP,PREFEITO,RAFAELA SOUZA DE GOIS,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,23,FEMININO,SUPERIOR COMPLETO,BRANCA,,#NULO#,#NULO#
